Aprašymas
Naugardiškių parke
Antakalnio parke
Universiteto-Maisto g. skvere;
Santakos parke;
"Laisvės al., šalia kavinės „Miesto sodas“;"
Nemuno saloje;
Vytauto pr. 50 (šalia A. Puškino m-klos);
Draugystės parke;
Dainavos parke;
Kalniečių parke;
Čečėnijos aikštėje;
Kovo 11-osios parke;
Panemunės paplūdimyje;
A. Šančių ąžuolyne;
Santarvės parke;
A. S. Samulevičiaus skvere;
Ąžuolyno parke;
Sąjungos a.;
Vytauto g. esančiame miškelyje;
Šalia Lampėdžių karjero;
Šalia Kauno marių.
